min_VGT,max_VGT,avg_VGT,rms_VGT,variance_VGT,skewness_VGT,classification
6.98E-06,0.81794358,0.00324859,0.00832196,5.87E-05,61.5689031,True
4.21E-06,0.54619645,0.00169948,0.00555618,2.798E-05,57.03583731,True
6.92E-06,1.25520384,0.00293096,0.01253349,0.00014851,60.49437259,True
9.1E-07,0.52120282,0.00173538,0.0053235,2.533E-05,56.95906234,True
1.09E-06,1.56774407,0.00300769,0.01556742,0.00023331,63.36744204,True
1.166E-05,1.58891781,0.00427086,0.01612933,0.00024193,60.40328127,True
8.13E-06,1.76742673,0.00355388,0.01751711,0.00029423,62.35555718,True
1.478E-05,1.96743738,0.00708441,0.02001291,0.00035035,59.6585684,True
1.068E-05,2.92289911,0.0071723,0.02995778,0.00084607,55.38638732,True
1.388E-05,1.74092929,0.00562277,0.01761333,0.00027863,59.79707586,True
6.89E-06,5.86471242,0.01046687,0.05690066,0.00312829,64.08718586,True
3.96E-06,1.87561097,0.00644667,0.01912802,0.00032434,58.83630825,True
1.96E-06,2.03557026,0.00411788,0.02016605,0.00038973,61.78188804,True
2.531E-05,10.81733125,0.04780301,0.11070824,0.00997168,64.72592293,True
3.83E-06,1.66010748,0.00467609,0.01689608,0.00026362,57.27474679,True
1.627E-05,2.77056309,0.00979777,0.02811849,0.00069469,59.9942692,True
2.56E-06,1.61157078,0.00352941,0.01599175,0.00024329,61.48107699,True
1.02E-06,1.87566693,0.00516736,0.01903993,0.00033583,56.03436221,True
5.76E-06,1.61074647,0.00418992,0.01634324,0.00024956,57.11228086,True
1.423E-05,2.01491772,0.0070592,0.02050551,0.00037066,59.21070716,True
9.6E-07,2.03007336,0.00344374,0.02018848,0.00039574,65.02581734,True
1.138E-05,2.59690417,0.00739031,0.02647649,0.00064642,55.87731229,True
5.59E-06,1.38001366,0.00360906,0.0138422,0.00017859,60.08348103,True
5.36E-06,1.68505891,0.00462622,0.01704487,0.00026914,57.17521578,True
8.94E-06,3.05262403,0.00792587,0.03080445,0.00088614,57.84018775,True
4.86E-06,2.89187301,0.00763591,0.02972381,0.00082524,55.20640914,True
6.05E-06,3.64693731,0.00723906,0.03588597,0.00123546,67.1256383,True
3.94E-06,1.56534511,0.00418975,0.0159051,0.00023543,55.7959417,True
1.21E-06,1.55669856,0.00362343,0.01581095,0.00023687,57.91511018,True
3.73E-06,2.33729127,0.00511363,0.02364331,0.00053288,58.92759935,True
5.76E-06,2.37321907,0.00614219,0.02420704,0.00054828,58.1601044,True
8.08E-06,2.90397504,0.00743617,0.02968895,0.00082618,55.63385018,True
9.39E-06,2.71571808,0.0072719,0.02775389,0.00071743,57.37696281,True
6.45E-06,2.09936588,0.0023353,0.01993164,0.00039184,74.29919144,True
1.391E-05,3.72250356,0.00913819,0.03748912,0.00132199,63.62454267,True
1.253E-05,3.69407549,0.00737698,0.03673859,0.00129537,61.78199498,True
1.33E-06,1.6540231,0.0035243,0.01666408,0.00026528,62.73706766,True
5.6E-06,1.68689973,0.00496794,0.01706698,0.00026661,59.61212974,True
3.57E-06,0.30288679,0.00181918,0.0047138,1.891E-05,24.02066521,True
4.67E-06,2.13693771,0.00696915,0.02154027,0.00041543,59.94573339,True
3.74E-06,1.98449281,0.00318941,0.01949011,0.00036971,70.88493663,True
1.47E-06,0.40199153,0.00144381,0.00412195,1.491E-05,57.25015861,True
1.25E-06,0.51024237,0.00156956,0.00518653,2.444E-05,56.58784187,True
4.32E-06,1.39929315,0.00273564,0.01401242,0.00018887,65.45312352,True
9.82E-06,3.62369381,0.00843479,0.03636565,0.00125138,62.57522601,True
5.93E-06,2.8960554,0.006972,0.02899585,0.00079219,59.25378569,True
1.148E-05,1.83841926,0.00635423,0.01869552,0.00030916,58.96706513,True
4.03E-06,1.66310128,0.004749,0.01695237,0.00026484,56.09814504,True
4.03E-06,1.09932567,0.00281205,0.01100699,0.00011325,60.7191792,True
7.49E-06,1.5629689,0.00488945,0.0157388,0.00022381,62.35297652,True
3.82E-06,1.66448089,0.00323089,0.0165296,0.0002628,65.8656005,True
1.7E-06,1.28205469,0.00265041,0.01273491,0.00015516,65.43133419,True
3.13E-06,3.70675263,0.00851411,0.03693346,0.00129165,60.14548826,True
5.9E-06,1.48697053,0.00401249,0.01502906,0.00020978,58.63165933,True
1.169E-05,3.4846575,0.00854754,0.0348107,0.00113878,60.73289967,True
1.499E-05,3.07399061,0.01126746,0.03159583,0.00087138,58.75011519,True
6.58E-06,1.91989481,0.00406238,0.0190525,0.00034651,61.39276011,True
4.34E-06,1.33549704,0.0050627,0.01357427,0.00015864,60.76033227,True
0.00015105,15.36271162,0.07159459,0.16312556,0.02148524,59.32384596,True
2.1E-07,0.07310868,0.00022242,0.00075311,5.2E-07,53.98380717,True
3.03E-06,1.12757303,0.00274896,0.0115875,0.00012672,56.42257041,True
7.23E-06,1.53713535,0.0037134,0.0153396,0.00022153,61.05075009,True
2.075E-05,4.34601554,0.00785136,0.0421554,0.00171552,67.39946455,True
3.84E-06,1.94716752,0.00471877,0.01957981,0.00036112,59.33945183,True
7.93E-06,1.34860486,0.00359924,0.01345209,0.00016801,66.88722543,True
4.19E-06,1.24603158,0.00297698,0.0125923,0.00014971,58.18847136,True
1.09E-06,1.45308295,0.00299732,0.01466002,0.00020594,61.20972197,True
6.4E-06,0.21236364,0.00209111,0.00359036,8.52E-06,22.57372209,True
4.873E-05,3.86072133,0.01409449,0.0391024,0.00133041,64.3370132,True
3.855E-05,3.23510066,0.01184278,0.03300546,0.00094916,59.33859362,True
1.086E-05,2.4965393,0.00424101,0.02458424,0.00058643,77.58075939,True
1.09E-06,2.50449729,0.00363552,0.02468698,0.00059626,72.00193976,True
2.64E-06,2.76827611,0.00791456,0.02843,0.00074566,55.88636296,True
2.86E-06,3.74444175,0.00848953,0.03748348,0.00133301,60.70355869,True
2.078E-05,4.87875839,0.01367802,0.04924803,0.00223839,59.58906269,True
1.413E-05,2.78090573,0.00492655,0.02754229,0.00073434,62.84537444,True
3.51E-06,1.81937508,0.0034551,0.01822042,0.00032006,63.76727629,True
9.42E-06,2.19238384,0.00466221,0.02213978,0.00046846,60.21865429,True
3.8E-07,0.2061966,0.00054574,0.00211926,4.19E-06,53.57355751,True
1.739E-05,2.07233401,0.00637348,0.02084774,0.00039403,59.7678019,True
2.07E-06,2.07749571,0.00408517,0.02098713,0.00042379,62.05450769,True
6.14E-06,2.29757384,0.00511731,0.02338741,0.00052081,61.32989303,True
5.48E-06,2.45704202,0.00801838,0.02477163,0.00054937,60.12545837,True
7.02E-06,1.57912304,0.00360318,0.01594116,0.00024115,62.226524,True
1.32E-06,1.49909367,0.00356314,0.0150379,0.00021345,59.8658249,True
2.84E-06,1.64331071,0.00467205,0.01660714,0.00025398,59.25270709,True
3.5E-06,2.37347113,0.00492756,0.02367649,0.00053632,64.82395632,True
4.45E-06,3.56340078,0.00786057,0.03529684,0.00118414,61.77280997,True
0,3.084E-05,1.8E-07,3.1E-07,0,82.92925535,True
