min_VGT,max_VGT,avg_VGT,rms_VGT,variance_VGT,skewness_VGT,class
1.445E-05,1.00803881,0.00380885,0.01019259,8.939E-05,64.68816256,0
1.144E-05,0.85779456,0.00353409,0.00861631,6.175E-05,67.28655418,0
6.7E-07,0.50764343,0.00223749,0.00513741,2.139E-05,69.75080687,0
4.84E-06,0.58358665,0.00186339,0.0058739,3.103E-05,68.17678172,0
4.74E-06,0.18434326,0.00100041,0.00188749,2.56E-06,75.654344,0
1.262E-05,0.80165231,0.00278928,0.00810208,5.787E-05,62.86712957,0
2.639E-05,0.71182106,0.00275517,0.00718284,4.4E-05,65.86566955,0
7.82E-06,0.54270257,0.00235734,0.00551079,2.481E-05,68.15029596,0
4.9E-06,0.58943725,0.00186603,0.00594867,3.191E-05,70.25850742,0
6.45E-06,0.62258424,0.00280978,0.00630269,3.183E-05,71.5876018,0
2.32E-05,0.89689317,0.00390064,0.00903019,6.633E-05,68.31319647,0
1.285E-05,0.56232849,0.00236761,0.00567867,2.664E-05,67.57473372,0
2.69E-05,1.06416137,0.00396741,0.0107555,9.995E-05,64.30277045,0
1.392E-05,0.7428439,0.00332103,0.0075548,4.605E-05,68.170046,0
8.44E-06,0.87589564,0.00378855,0.00888735,6.464E-05,67.5826157,0
4.72E-06,0.55290114,0.00233044,0.00558347,2.575E-05,68.066915,0
1.97E-06,0.59818015,0.00180263,0.00602403,3.304E-05,70.98307697,0
1.972E-05,1.12674344,0.00435909,0.01139089,0.00011076,65.66935734,0
8.85E-06,0.91252297,0.00415978,0.0093008,6.92E-05,67.99791957,0
9.45E-06,0.96907242,0.00374832,0.00980473,8.209E-05,66.1559654,0
1.96E-06,0.50184499,0.00188597,0.00511305,2.259E-05,66.65773193,0
1.241E-05,0.62274013,0.00199088,0.00623578,3.492E-05,68.6798599,0
1.52E-05,0.60574941,0.00195801,0.00611541,3.357E-05,70.61328542,0
3.65E-06,0.42481899,0.00175645,0.00431923,1.557E-05,67.48608723,0
2.55E-06,0.22986419,0.00116814,0.00235462,4.18E-06,70.86103487,0
9.01E-06,0.51022339,0.00235442,0.00515209,2.1E-05,72.17785982,0
1.97E-06,0.51631082,0.00234932,0.00523804,2.192E-05,69.66877018,0
9.88E-06,0.62219068,0.00193601,0.00625637,3.54E-05,72.80914538,0
1.063E-05,0.53987969,0.00233566,0.00547192,2.449E-05,68.55692688,0
1.559E-05,1.10738394,0.00458956,0.01121158,0.00010464,65.94024083,0
1.079E-05,0.95473297,0.00328319,0.00960346,8.145E-05,65.60417783,0
6.36E-06,0.52290155,0.00225208,0.00528839,2.29E-05,68.31917654,0
2.85E-06,0.65089067,0.00199425,0.00656994,3.919E-05,69.56598111,0
5.58E-06,0.53418945,0.00217485,0.00546834,2.517E-05,65.41807324,0
8.98E-06,1.09615196,0.00355039,0.01097475,0.00010785,62.38084271,0
5.69E-06,0.57316273,0.00188005,0.00579764,3.008E-05,71.84615633,0
8.99E-06,0.52375619,0.00182922,0.00530745,2.482E-05,68.67734759,0
5.29E-06,0.4316694,0.00187554,0.00443572,1.616E-05,66.70506339,0
4.46E-06,0.51389164,0.0018594,0.00525593,2.417E-05,65.38932968,0
9.32E-06,0.49574341,0.00182387,0.00508296,2.251E-05,67.57331646,0
1.311E-05,0.63742814,0.00262965,0.00644579,3.463E-05,67.43350998,0
8.18E-06,0.34389878,0.00150718,0.00379039,1.21E-05,57.52413697,0
1.261E-05,0.60664587,0.00239684,0.00613398,3.188E-05,68.37586084,0
2.297E-05,1.16645856,0.00479174,0.01186427,0.00011781,64.41478638,0
8.73E-06,0.67320158,0.00248543,0.00678661,3.988E-05,64.74576453,0
1.01E-06,0.07861162,0.00043655,0.00079755,4.5E-07,80.7342798,0
3.52E-06,0.53877477,0.00224374,0.00546357,2.482E-05,67.27262367,0
5.61E-06,0.47283031,0.00192745,0.00479638,1.929E-05,67.74701107,0
1.25E-06,0.15829858,0.00088472,0.00161774,1.83E-06,78.91520673,0
6.05E-06,0.43825609,0.00170054,0.00451247,1.747E-05,64.07289125,0
3.58E-06,0.45065445,0.0016968,0.00462,1.847E-05,65.19042007,0
6.11E-06,0.45131712,0.00175433,0.00464371,1.849E-05,63.87119617,0
1.101E-05,0.50724706,0.0020892,0.00513219,2.198E-05,67.17422203,0
1.165E-05,0.95601473,0.0037821,0.00965917,7.9E-05,65.83834609,0
1.722E-05,0.8441027,0.00375995,0.00849922,5.81E-05,69.89034323,0
4.33E-06,0.53817966,0.00182943,0.00548527,2.674E-05,66.24031664,0
1.09E-05,0.47262313,0.00198464,0.00478225,1.893E-05,68.67597447,0
3.74E-06,0.19311329,0.00104111,0.0019792,2.83E-06,74.79270031,0
2.22E-06,0.53547407,0.00237132,0.00541301,2.368E-05,69.68405001,0
6.59E-06,0.91657515,0.00312304,0.009148,7.394E-05,64.68156535,0
1.38E-06,0.16290551,0.00090079,0.00165627,1.93E-06,79.5726441,0
3.11E-06,0.10736402,0.00059849,0.00109242,8.4E-07,80.08699932,0
1.46E-05,0.65787633,0.00272195,0.00664758,3.678E-05,67.91206617,0
4.52E-06,1.13882835,0.00417815,0.01150005,0.0001148,64.02297844,0
1.077E-05,0.67664759,0.00272548,0.00689889,4.017E-05,63.7513238,0
7.73E-06,0.62300775,0.00264219,0.00635194,3.337E-05,66.36391942,0
1.233E-05,0.82942051,0.00283743,0.00841374,6.274E-05,63.32888357,0
9.93E-06,0.49532705,0.00184155,0.00508586,2.248E-05,66.79701669,0
5.42E-06,0.50007862,0.00179665,0.00511763,2.296E-05,67.20786049,0
1.242E-05,0.69241648,0.00269374,0.00701034,4.189E-05,66.5653277,0
7.08E-06,0.94187868,0.00330677,0.00951195,7.955E-05,64.50743593,0
1.66E-06,0.53684436,0.00216451,0.00540207,2.45E-05,67.37541469,0
1.137E-05,0.50332151,0.00206335,0.00511124,2.187E-05,67.33115012,0
1.043E-05,0.77976206,0.00341778,0.00790046,5.074E-05,68.75749495,0
